accounting_office,accounting_office_cvr,declaration_count
Exante Revision,70694611,0
Excell Revision,32428932,0
EY,30700228,1802
EY,33946171,0
EY,35683194,0
Eybye Invest,27527027,0
F I Revision,12576986,0
F.J. Revision,76534268,0
FC regnskab,36971339,0
FER Fyns Erhvervsrevision,21447587,58
Fetterlein,36081848,0
Fidura Statsautoriseret Revisionsanpartsselskab,45740986,2
Finansion v/ revisor Jens Møller,41418737,0
Firat Group,21617881,0
Fischer & Kragh ApS,38392867,0
FJH Revision,18165406,0
FKS Revision,26306175,15
Flemming Johannsen,31095018,0
FN Revision,29747792,2
Fokusrevision.dk,26996430,0
FP Revision,37381136,0
Funder & Henriksen,29628777,2
Furesø Revision,27969933,0
Fynbo Revision,19706974,6
G2 Revision,32285538,0
GBH Revision & Rådgivning,17610430,43
GE Revision & Rådgivning,25187091,8
Gilfelt Revision,28108303,31
gills-economics,39325608,1
GLB Revision,30821963,0
Global Revision,28121717,0
Glud&Ko,31811694,0
GoAudit,37205907,9
Grant Thornton,34209936,4246
Greve Strands Revision,52992753,3
Grønborg Revision,75076118,1
Gronemanns,32563627,11
"Grønlands Revision A/S, statsautoriserede revisorer",41762667,28
Grønlands Revision Godkendt Revisionspartnerselskab,46201515,31
GS Event + Revisionplus,73881412,0
Gundsø Revision,76475512,27
Gunnar Bendixen,71220168,0
GV Revision,25122402,0
H D Consult,27796001,0
Haamann A/S,24256995,0
Haamann Statsautoriseret Revisionspartnerselskab,39408198,39
HALLERUP STATSAUTORISERET REVISOR ApS,79157511,0
Hans Jørgen Nielsen,20080450,0
Harboe Consult,35649417,89
Harboe og B.,33649452,14
Hartvig & Aalund,31478383,0
"Hartzberg+, statsautoriseret revisionsanpartsselskab",40535349,0
HE Revision,29404992,16
Hedelund revision & rådgivning,36762454,0
Helledie Revision,39164388,24
Henrik Blixenkrone Registreret Revisionsanpartsselskab,10477549,0
Henrik Hansen Revision,10054192,0
Hestehavens Revison,31579325,4
HH Bogføring og Regnskab,41316489,0
HJ Revision ApS,38140515,0
HKP Revision,12354746,0
HK-revision,18767333,0
Høffner Revision,76637415,7
Holberg Invest ApS,42657638,0
Holberg revision,35638288,0
Hole Revision,30709470,0
Holm Hansen Statsautoriseret Revisionspartnerselskab,35042520,0
Hovedstadens Revisionshus ApS,36894415,0
HR Revision ApS,46151607,1
Huset Under Linden,73643716,0
HvidebækRevisoren,28931581,0
I.H. Revision v/ Hanne Henningsen,19617203,0
Ib Rohde,30905652,29
IGM Revision v/iben green madsen,52886252,0
IHC Holding Kolding,31501601,0
Inforevision,19263096,655
Intension,26632315,37
J H Regnskab v/Jan Ekmann Hørsel,20415991,3
J. Aarøe Statsautoriseret Revisionsanpartsselskab,34058059,0
J. S. Jakobsen,15515554,1
Jajaogatterja,40095179,0
JBC Revision v/Jørgen Christensen,25979907,23
JBL Revision,36491817,0
JE Regnskabsservice,17366270,0
"Jens Rye, Statsautoriseret Revisor",41694939,0
Jes Revision,17016334,0
JH Revision,55399719,1
"JHL Revision, Esbjerg",40052992,49
JL Revision,11286380,0
JL Revisorer,31332699,125
"John Dalgaard, Statsautoriseret Revisionsanpartsselskab",27192939,0
Johnny Hansen Registreret Revisionsanpartsselskab,16933503,0
Johnny Kofoed-Jensen,40992138,0
Joost & Partner Registreret Revisionsanpartsselskab,63778710,0
Jørn Haagensen Statsautoriseret Revisionsanpartsselskab,33759231,0
Jørn m. Schmidt Statsautoriseret Revisionsanpartsselskab,28309724,24
JP Management Holding,25709888,0
"JS Revision, Godkendt Revisionsaktieselskab",37999687,240
JST Revision,26344735,0
JT Adviser,14081844,0
JuelViborg,31438748,0
Juul & Blicher ApS,45395634,17
JVBM Revision,36972912,0
Jysk Revision og Rådgivning ApS,43573810,33
K.T. Revision Vejle,70969815,143
K2 TOP Registreret Revisionsanpartsselskab,30175905,0
Kallermann Revision,30195264,63
Kappelskov Revision,11790577,42
Kara Statsautoriseret Revisionsanpartsselskab,45945189,1
Karin Juel Registreret Revisionsvirksomhed,12911580,0
Karleby Revision ApS,26252687,0
Karsten Andersen Registreret Revisionsvirksomhed,34274657,2
Karsten Reher. Revisionsanpartsselskab,76477817,0
Kerteminde Revision v/Charlotte Elwain,29573360,0
Kildebjerg Revision,26631556,0
Kirkhoff,30351002,4
Kjær Revision,37984558,27
Kjeld Linnebjerg Registreret Revisionsanpartsselskab,15587008,0
"Kjeldsen Revision, Statsautoriseret Revisionsanpartsselskab",46115422,6
Klar Revision,35827943,18
Klinkby Revision v/Lars Klinkby,30006674,0
KOA CPH ApS,45107787,12
KOA Rådgivning & Regnskab ApS,78168714,0
Kobstrup,17294431,0
Køge Nord Revision,14149341,0
Kolding Erhvervsservice,30817222,0
Kolding Herreds Landbrugsforening,21111511,12
Kompas Revision,26291593,8
KOMPLEMENTARANPARTSSELSKABET ANDERSEN REVISION,35534156,0
Konde ApS,38575694,0
Kongevejens Revision,25273621,20
Konsulent Jens H. Hedegaard,42746452,6
Korsgaard Revision,13835640,36
Kovsted & Skovgård,38751646,370
KPMG,25578198,150
KPMG KOMPLEMENTARSELSKAB ApS,25504070,3
Kramer Consulting,38654217,0
Kreston AKC,35316957,3
Kreston CM,39463113,244
Kreston JC,27619096,53
Kreston SR,33948794,109
Krogh & Thomsen,19154408,71
Krøyer Pedersen Statsautoriserede Revisorer,89224918,4
Krøyer Pedersen Statsautoriserede Revisorer P/S,45922391,301
Kruse Revision,43113577,0
Krydsrevision,38225804,5
Kvalitetsrevision,36480254,204
Kvist & Jensen,36717785,2
"Kvist & Jensen, Grenaa",27478131,0
Kvist Revision ApS,38818724,14
L.A. Revision,17022970,5
Lægård Revision,18437082,150
Lægers & Tandlægers Revisionskontor,25685229,0
Lægers & Tandlægers Revisionskontor Sjælland,33877390,3
Landbo Limfjord,26243076,0
Landboforeningen Gefion,31123992,0
LandboNord,25049608,0
LandboThy,41946717,0
Landbrugsrådgivning Syd,30719131,0
Landwirtschaftlicher Hauptverein für Nordschleswig,16342718,5
Langelands Revisionscenter,61225811,0
Langelinierevisionen,11303870,0
Lars Ole Wiese,30220331,0
Lars P Revision,33225172,9
"Larsen, Statsautoriseret Revisionsanpartsselskab",45756173,4
LB Revision,14047107,0
LBV ApS,41358513,0
LD&C Statsautoriseret Revisionsanpartsselskab,46080041,11
LDM Revision,19553876,0
Legato Regnskab og bogføring,33836449,0
Leif Mikkelsen & Partnere,32676421,147
Lejenregnskabschef.dk,30563670,0
Lemvigegnens Landboforening,41503610,11
Lerfeldt Revision,20142146,6
Leth & Partnere,32789153,33
Lidegaard Revision & Rådgivning,27096174,43
Lidegaard Revision&Rådgivning,27511511,41
Lillebælt Revision,10122058,0
Linda Lauritsen,37142042,0
Lindeberg Storm Fischer,37821055,7
Lindholm Revision,38248677,4
LJ Revision,28284160,0
Lokal Revision - statsautoriseret revisionsanpartsselskab,41943661,47
Lokalrevision,78646411,5
"Lorentzen & Partners, Statsautoriserede Revisorer ApS",45328988,26
Lou Revision,31579309,163
LP Revision & rådgivning,16368342,0
LPOG ApS,33167288,115
Luni Revision,17811371,6
Luni Revisions Anpartsselskab,28970641,0
Lynge Revisor,31622565,0
Lyngen Revision statsautoriseret revisionsanpartsselskab,35050175,1
MA Revision v/Morten Andersen,12246099,0
"MADS MYRTUE THOMSEN, STATSAUTORISERET REVISIONSANPARTSSELSKAB",28663838,0
Martinsen,32285201,2670
Mazars Statsautoriseret Revisionspartnerselskab,31061741,19
MB Revision ApS,33497326,0
MBA Statsautoriseret Revisionsanpartsselskab,33150482,14
MBL Revision,40375260,13
Meneto Software ApS,39965003,0
Mentor TM,27477933,0
Mer Revision,32344720,23
Michael Kappelhøj,18485907,0
Midt Revision,39065797,0
MN Revision og Rådgivning,30318269,0
MN Revision v/statsaut. revisor Mogens Nielsen,15656042,0
Mogens Kibsgaard. Statsautoriseretrevisionsanpartsselskab,67425618,8
Møller & Co.,20716142,0
Møller & Madsen,30835654,2
Møller-Jensen Statsautoriseret Revisionsanpartsselskab,68497817,53
Momentum Revision,35238050,1
MP Revision,14119507,54
MPB Consult,30956400,0
MPH Business Consulting ApS,37654728,0
MQ Revision,16147591,0
MS Revision ApS,40032622,11
MTMLB,36909935,9
Multi Revision,31929342,42
Multi Revision Ballerup,15553782,0
MunkStrunge,33088205,68
N. K. Mortensen A/S Registrerede Revisorer,66090116,0
N. K. Mortensen Reg. Revisor ApS,42975958,0
N.G. Christensen Statsautoriseret Revisionsanpartsselskab,38695916,71
Nærrevision,17524305,149
National Revision,25635868,0
ND REVISION SØNDERBORG ApS,56387013,0
Nejstgaard & Vetlov,12868693,123
Nem Revisor ApS,35235892,79
Nemli & Partnere Statsautoriserede Revisorer ApS,43514172,2
NET-Revision,29389918,0
Nexø Revision A/S,41998407,18
Next Stage Ventures ApS,37519111,0
nf plus,27495753,0
NF Plus Revision,36031719,2
Nigelema v/Niels Lemmeke Madsen,20113138,0
Nils Knudsen NK - REVI,11524192,0
Noe & Kirkegaard,15050586,0
Nørbak,33065272,0
NORDISK ELEMENT BYG A/S,32287913,0
Nordisk Revision Godkendt Revisionsanpartsselskab,41835303,17
Nordjysk Revision HJ,33064543,0
Nordkyst Revision Godkendt Revisionspartnerselskab,37605255,73
Nordland Revision-Nordland,25518942,0
Nordmors Revision v/Peter Djernes,19941442,2
Nørgaard Revision,31131928,0
Nørgaard Schultz Godkendt Revisionsanpartsselskab,43629379,0
NPM Quality Management ApS,32825915,0
NU-REVI,29839328,0
NUUK REVISION ApS,12479077,0
Nyborg Erhvervsrevision,30546792,17
OBK Revision,68216214,0
Ødegaard Statsautoriseret Revisionsanpartsselskab,44304635,16
Øernes Revision,37121924,148
Økonomihuset,28368410,0
OL Revision,10841976,1
ON Regnskab & Rådgivning,40748083,2
One Revision,39090279,1
ON-Erklæring ApS,41210974,0
ONreVISION,33043163,0
Optimal Revision,19233383,116
Øresund Revision Statsautoriseret Revisionsanpartsselskab,40127720,3
Osmark,27135730,0
Østdansk Landboforening,20835400,0
Ostenfeld Revision,36071281,17
Østrup,32774296,0
Oxenvads Regnskabsservice ApS,12741766,0
OX-INVEST ApS,20799544,0
Pandrup Revision,38897713,0
Parker Randall,26998549,0
Partner Revision,15807776,1477
Patriotisk Selskab,61676228,7
PC-Revision Gentofte,30969103,0
PDG-Revision,36490977,0
Peter Madsen Registreret Revisionsanpartsselskab,25362403,0
PHA Revision,11392903,0
Piaster Revisorerne,25160037,345
Pibe Mølle Revision,19123286,0
Pilgaard Revision V/Elna Pilgaard,17230239,0
PJ Revision ApS Registrerede Revisorer,26429862,0
PJ Revision Statsautoriseret Revisionsanpartsselskab,33861044,28
PK Revision,31495288,0
PKF Borup ApS,10290430,0
PKF Munkebo Vindelev,14119299,38
Plan Revision v/Per Petersen,12322143,23
Plus Revision,20452897,32
PM Revision,15279680,1
PN Revision,37522945,11
Pommerencke,33878370,0
Powered-By Statsautoriseret Revisionspartnerselskab,44282380,220
PricewaterhouseCoopers,33771231,3856
Prima Revision,21356190,19
PRO REVISION STATSAUTORISERET ANPARTSSELSKAB,45150437,11
Pro-Accounting ApS,38033638,0
Profil Revision,59051318,39
Pryds,21598402,0
PS Revision,28252102,0
PT af 27. juli 2004,28148585,2
PwC Statsautoriseret Revisionsanpartsselskab,33773188,0
Q-Revision,30276019,2
R E V I - T E A M,10180384,0
R3 Revision,33164076,7
Råd & Revision,25593995,7
Rådgivning & Revision,10158117,13
Rådgivningsgruppen,29316996,5
Rasmussen Revision,46408314,0
RB Revision,21706833,2
Realvision,18216833,8
Redmark,29442789,1650
Reg Revisor Uffe Berg Pedersen,12689039,0
Reg. Rev. Mogens Møller Nielsen,10261279,3
Registreret Revisionsanpartsselskab Flemming Juhl Nielsen,14135308,9
Registreret Revisionsanpartsselskab j. Gilbert Nielsen,18137399,1
Registreret revisionsfirma Torben Andersen,15681578,4
Registreret Revisionsvirksomhed FD Revision,35798153,0
Registreret Revisionsvirksomhed Nordskov Revision,30348184,0
Registreret Revisionsvirksomhed Peter Oldvig,11759092,0
Registreret Revisor Annie Mogensen,11972101,0
Registreret Revisor Bjarne Degerth,92943453,0
Registreret Revisor Jørgen T. Madsen,75964056,0
Registreret Revisor Mads Bødker,14662138,0
Registreret revisor Marianne Mortensen,15664908,0
Registreret Revisor Mette Storgaard Høffner,18897385,0
Registreret revisor Morten Rasmussen,40847170,0
Registreret Revisor N. C. Sørensen,17561391,1
Registreret Revisor Per Obling,14913572,0
Registreret Revisor Per Skaarup Rasmussen,20592699,0
Registreret Revisor Peter Rose,50949656,0
Registreret Revisor Verner Freundlich Larsen,91778750,0
Regn & Råd Mette Jørck,26380898,0
Regnskabs- og Revisionskontoret for Storkøbenhavn,37183024,2
Regnskabsfabrikanten,38980149,41
Regnskabsfirmaet Martin Engbjerg ApS,14165088,0
Rehvidsion,82958118,0
REV af 22/12 1989 ApS,10741092,0
Rev og Råd,32942660,0
Revfirma Georg Mathiasen,72430816,6
Revice,32291090,33
Revico,27795188,0
Revicor,13929297,0
Revida,87948412,39
Revidata,37029815,30
ReviDK,36956658,0
Revifirmaet,83827815,0
REVIFJORD Godkendt Revisionspartnerselskab,44401231,50
ReviFyn,41992719,0
ReviGroup,39875926,0
Revikon,15728000,0
Revimidt,34480370,70
ReviNord,16347299,23
ReviØst,21164577,14
ReviPartner,25112822,0
Revipoint,31611520,0
Revirk Rådgivning,31934354,0
Revirk Rådgivning Statsautoriseret revisionsfirma,20527986,0
Revision & Data,12475780,31
Revision & Råd,36923318,78
REVISION & RÅD STATSAUTORISERET REVISIONSPARTNERSELSKAB,46125894,268
Revision 1,91259850,0
Revision 1-2-3,10632684,0
Revision 2,16968137,118
Revision 360 Statsautoriseret Revisionsinteressentskab,44775530,53
Revision 80,16728691,0
Revision Fyn,31896444,0
Revision Hatting,13737096,6
Revision Horsens,17275100,0
Revision Kjær,33037864,30
Revision København Godkendt Revisionspartnerselskab,34619654,76
Revision København Statsautoriseret Revisionsanpartsselskab,34452342,0
Revision Køge,28053665,8
Revision Limfjord,41454555,0
Revision Nord,16145084,16
Revision Nordjylland,28481160,0
Revision Nordjylland Hjørring ApS,40299637,0
Revision og Rådgivningsgruppen,33771177,122
Revision- og Regnskabskontoret,28902867,12
Revision og Review Partner,33082932,0
Revision Rosendal,30427483,0
Revision Ry & Hammel,26267439,100
Revision Ryttergaarden,36908114,0
Revision Sjælland,28309791,126
REVISION THY Registreret Revisionsanpartsselskab,42825379,16
Revision Vadestedet,27433863,64
Revision Varde,18072106,0
RéVision+,38914766,0
ReVision+ Brøndby ApS,20251883,1
Revision+ Fyn ApS,42658561,0
RéVision+ Statsautoriseret Revisionsanpartsselskab,41695609,182
Revisioncentret Tønder/Skærbæk,26812372,46
"RevisionPlus, Grindsted",10875781,1
Revisionsanpartsselskabet Jens Carl Nielsen,28505159,6
Revisionscentralen i Nørre Alslev,71274012,0
Revisionscentret 5R Esbjerg,26279534,35
Revisionscentret Aabenraa,29695636,384
Revisions-Centret ApS,41578513,90
Revisionscentret Haderslev,13976295,31
Revisionscentret Ribe,18936305,80
Revisionscentret Sønderborg,38951394,66
Revisions-Centret v/Brian Vahlkvist,19723402,0
Revisionscentret v/Jesper Thygesen,10352231,0
RevisionsCentrum,36493372,22
Revisionsfimaet W. Bach Nørgaard,18192195,9
Revisionsfirma Bent Madsen,13672970,0
Revisionsfirma Børge Lorenzen,18798344,0
Revisionsfirma C. & Co,37905305,0
Revisionsfirma Ulla Svenningsen,18393387,0
Revisionsfirmaet A P MØLLER,72707710,0
Revisionsfirmaet Albrechtsen,77926410,87
Revisionsfirmaet Allan Bernhard,26688027,0
Revisionsfirmaet Arne Bang,78682418,0
Revisionsfirmaet Asger Wiuff Andersen,32149863,0
Revisionsfirmaet Axel Gram,16645699,94
Revisionsfirmaet Bayer,15202580,1
Revisionsfirmaet Bendt Stendahl,86046717,0
Revisionsfirmaet Benny Jensen,17937987,2
Revisionsfirmaet Benny Lund Jensen,37230359,0
Revisionsfirmaet Bent Jørgensen,57652551,0
Revisionsfirmaet Bent Rindom,51229428,0
Revisionsfirmaet Chr. Knudsen,21813400,0
Revisionsfirmaet Christian Danielsen,16953199,26
REVISIONSFIRMAET CLAUS WINKEL ApS,13188491,0
Revisionsfirmaet Edelbo,35486178,145
Revisionsfirmaet Edelbo & Lund-Larsen,32327249,14
Revisionsfirmaet Else Høy,15275677,0
Revisionsfirmaet Erik Andersen,15534397,0
Revisionsfirmaet Erik Hultquist,15396105,5
Revisionsfirmaet Erik Reinsborg,25491742,0
Revisionsfirmaet Evan Klarholt,10686504,0
Revisionsfirmaet Flemming Hansen,15270144,5
Revisionsfirmaet Freddy Rasmussen,15054840,0
Revisionsfirmaet Gert Ovesen,13364796,0
Revisionsfirmaet Gutfelt,13254192,57
Revisionsfirmaet Hanne og Erling Lund,35143114,9
Revisionsfirmaet Hartvig & Aalund,11157203,1
Revisionsfirmaet Henrik Tange,37915718,0
Revisionsfirmaet Højmose,30771508,0
Revisionsfirmaet Højmose Christiansen ApS,43917455,0
Revisionsfirmaet Højmose IVS,36988762,0
Revisionsfirmaet Højvar & Skaaning,28248598,0
Revisionsfirmaet Irene Sjølin ApS,37470996,0
Revisionsfirmaet Ivan Kjeldsen,30613791,10
Revisionsfirmaet Jan Kristensen,35383646,18
Revisionsfirmaet Jens Søndergaard,18738007,0
Revisionsfirmaet Jens Vindfeldt,15897996,0
Revisionsfirmaet John Schantz,28312393,68
Revisionsfirmaet Jørgen Gilling,18619407,0
Revisionsfirmaet Jørgen Larsen,54471556,8
Revisionsfirmaet Jørgen Larsen I/S,14678085,21
Revisionsfirmaet Kenneth Birkelund,32147437,0
Revisionsfirmaet Kim Jacobsen,36065346,5
Revisionsfirmaet Kirch Andersen,18288389,6
Revisionsfirmaet Kjeldgaard og Thulstrup,25900405,0
Revisionsfirmaet KRH,37596272,0
Revisionsfirmaet KRH ApS,42040614,27
Revisionsfirmaet Kurt Astrup,13068135,0
Revisionsfirmaet Lars Bastholm,36696486,46
Revisionsfirmaet Lars Bo,27022863,0
Revisionsfirmaet Lars Jeppesen,26923891,1
Revisionsfirmaet Lars Jeppesen ApS,44585650,23
Revisionsfirmaet Lars Olsen,37135119,189
Revisionsfirmaet Leif Vesterlund,10092159,0
Revisionsfirmaet Lisbeth Bo Jørgensen,14052488,0
Revisionsfirmaet Lund & Christiansen,10623685,5
Revisionsfirmaet MBP,31167140,0
Revisionsfirmaet Mentor,28136196,16
Revisionsfirmaet Michael Fræmohs,47808650,0
Revisionsfirmaet Mogens Andersen,26386330,0
Revisionsfirmaet Morten Schneider,33176996,0
Revisionsfirmaet Niels Harder,44682915,0
Revisionsfirmaet Niels Ole Hansen,26121884,0
Revisionsfirmaet Nielsen & Olesen,21294306,0
Revisionsfirmaet Obsen & Nielsen,26399610,1
Revisionsfirmaet Ole Dahl,11328881,0
Revisionsfirmaet Ole Hansen,12155662,0
"Revisionsfirmaet Ole Hansen, Statsautoriseret Revisionsanpartsselskab",17246496,30
Revisionsfirmaet Ole Poulsen,32008143,0
Revisionsfirmaet Ole Vestergaard,31501741,14
Revisionsfirmaet Peder Albertsen,18743396,1
Revisionsfirmaet Peder Holt,21872741,89
Revisionsfirmaet Per Abelsen,34066698,1
Revisionsfirmaet Per Jacobsen,15319887,0
Revisionsfirmaet Per Kronborg,26659817,165
Revisionsfirmaet Per Steen Hansen,38124315,0
Revisionsfirmaet Peter Berg,21052302,12
Revisionsfirmaet Peter Deiborg,16346578,0
Revisionsfirmaet Peter Høg,65608154,0
Revisionsfirmaet Poul Bernhardt Larsen,66660214,0
Revisionsfirmaet Poul Rexen Thomsen,81127115,1
Revisionsfirmaet Rathmann & Mortensen,27521975,0
